ind_hhh,Industry
C,C. INDUSTRIA MANUFACTURERA
F,F. CONSTRUCCIÓN
G,G. VENTA POR MAYOR Y POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS
13921,"13921. Fabricación de frazadas, mantas de viaje, edredones, almohadas y otros artículos conexos"
64921,64921. Actividades de casas de empeño
47921,47921. Venta realizada por vendedores ambulantes
84231,84231. Actividades de la policía y protección civil (bomberos y tránsito)
49231,49231. Transporte automotor de carga urbano
46431,"46431. Venta por mayor de muebles, artículos de mimbre y corcho; colchones y somieres"
46631,46631. Venta por mayor de materiales de construcción
47731,47731. Venta por menor de productos farmacéuticos y medicinales
11041,11041. Elaboración de bebidas gaseosas
01441,01441. Cría de ganado ovino
46441,46441. Venta por mayor de productos farmacéuticos medicinales
47741,47741. Venta por menor de relojes
23941,23941. Fabricación de cemento
23951,"23951. Fabricación de materiales prefabricados de hormigón, cemento o piedra artificial para obras de construcción"
01461,01461. Cría y reproducción de aves de corral
01271,01271. Cultivo de café
47771,47771. Venta por menor de flores naturales y artificiales
01281,"01281. Cultivo de especias, plantas aromáticas, medicinales y farmacéuticas"
96091,"96091. Servicios de clubes nocturnos, lenocinios y casas de tolerancia"
17091,17091. Fabricación de artículos de papel de uso doméstico y para la higiene personal
01191,01191. Cultivo de tabaco
82191,82191. Servicios de fotocopiado
93191,93191. Actividades de ligas y órganos reguladores
64191,64191. Servicios de entidades bancarias
52291,52291. Transporte intermodal de carga y/o servicio de operadores logísticos para el transporte de mercaderías
93291,"93291. Actividades de salones de baile, discotecas y similares"
95291,95291. Reparación y arreglo de prendas de vestir
07291,07291. Extracción de minerales metalíferos no ferrosos
77291,"77291. Alquiler de productos textiles, prendas de vestir y calzado"
46491,46491. Venta por mayor de materiales y productos de limpieza
46591,46591. Venta por mayor de muebles y equipo de oficina
47591,47591. Venta por menor de enseres eléctricos y línea blanca
46691,"46691. Venta por mayor de sustancias químicas de uso industrial: tinta, colorantes, anilina y similares"
10791,"10791. Tostado, torrado, molienda y fabricación de productos de café"
74991,74991. Otras actividades especializadas de carácter profesional
94991,94991. Organización de protección de los derechos humanos
25991,25991. Fabricación de envases de productos metálicos
86991,86991. Servicios de laboratorios clínicos
31002,"31002. Fabricación de muebles y partes de muebles, principalmente de metal"
10102,10102. Matanza de ganado porcino y procesamiento de su carne
80102,80102. Servicio de transporte de caudales y objetos de valor
71102,"71102. Actividades de consultoría en ingeniería civil, hidráulica y afines"
