district,District
15001,Acambay de Ruíz Castañeda (México)
15003,Aculco (México)
15007,Amanalco (México)
15032,Donato Guerra (México)
15046,Jilotzingo (México)
15052,Malinalco (México)
15064,El Oro (México)
15068,Ozumba (México)
15074,San Felipe del Progreso (México)
15085,Temascalcingo (México)
15088,Tenancingo (México)
15101,Tianguistenco (México)
15112,Villa del Carbón (México)
15113,Villa Guerrero (México)
15114,Villa Victoria (México)
15124,San José del Rincón (México)
15014,Atlacomulco (México)
15017,Ayapango (México)
15021,Coatepec Harinas (México)
15026,Chapa de Mota (México)
15038,Isidro Fabela (México)
15040,Ixtapan de la Sal (México)
15063,Ocuilan (México)
15077,San Simón de Guerrero (México)
15079,Soyaniquilpan de Juárez (México)
15087,Temoaya (México)
15090,Tenango del Valle (México)
15105,Tlatlaya (México)
15111,Villa de Allende (México)
15123,Luvianos (México)
16053,Morelia (Michoacán de Ocampo)
16102,Uruapan (Michoacán de Ocampo)
16108,Zamora (Michoacán de Ocampo)
16006,Apatzingán (Michoacán de Ocampo)
16043,Jacona (Michoacán de Ocampo)
16052,Lázaro Cárdenas (Michoacán de Ocampo)
16066,Pátzcuaro (Michoacán de Ocampo)
16068,Peribán (Michoacán de Ocampo)
16069,La Piedad (Michoacán de Ocampo)
16071,Puruándiro (Michoacán de Ocampo)
16075,Los Reyes (Michoacán de Ocampo)
16076,Sahuayo (Michoacán de Ocampo)
16085,Tangancícuaro (Michoacán de Ocampo)
16106,Yurécuaro (Michoacán de Ocampo)
16107,Zacapu (Michoacán de Ocampo)
16112,Zitácuaro (Michoacán de Ocampo)
16003,Álvaro Obregón (Michoacán de Ocampo)
16018,Copándaro (Michoacán de Ocampo)
16020,Cuitzeo (Michoacán de Ocampo)
16024,Cherán (Michoacán de Ocampo)
16035,La Huacana (Michoacán de Ocampo)
16049,Madero (Michoacán de Ocampo)
16055,Múgica (Michoacán de Ocampo)
16056,Nahuatzen (Michoacán de Ocampo)
16065,Paracho (Michoacán de Ocampo)
16073,Quiroga (Michoacán de Ocampo)
16079,Salvador Escalante (Michoacán de Ocampo)
16084,Tangamandapio (Michoacán de Ocampo)
16088,Tarímbaro (Michoacán de Ocampo)
16105,Vista Hermosa (Michoacán de Ocampo)
16064,Parácuaro (Michoacán de Ocampo)
16016,Coeneo (Michoacán de Ocampo)
16031,Epitacio Huerta (Michoacán de Ocampo)
16033,Gabriel Zamora (Michoacán de Ocampo)
16041,Irimbo (Michoacán de Ocampo)
16050,Maravatío (Michoacán de Ocampo)
16061,Ocampo (Michoacán de Ocampo)
16077,San Lucas (Michoacán de Ocampo)
16078,Santa Ana Maya (Michoacán de Ocampo)
16082,Tacámbaro (Michoacán de Ocampo)
16083,Tancítaro (Michoacán de Ocampo)
16092,Tiquicheo de Nicolás Romero (Michoacán de Ocampo)
16093,Tlalpujahua (Michoacán de Ocampo)
16097,Turicato (Michoacán de Ocampo)
16099,Tuzantla (Michoacán de Ocampo)
16010,Arteaga (Michoacán de Ocampo)
17006,Cuautla (Morelos)
17007,Cuernavaca (Morelos)
17011,Jiutepec (Morelos)
17003,Axochiapan (Morelos)
17008,Emiliano Zapata (Morelos)
17017,Puente de Ixtla (Morelos)
17018,Temixco (Morelos)
17025,Tlaquiltenango (Morelos)
17028,Xochitepec (Morelos)
17029,Yautepec (Morelos)
17030,Yecapixtla (Morelos)
17031,Zacatepec (Morelos)
17004,Ayala (Morelos)
17009,Huitzilac (Morelos)
17010,Jantetelco (Morelos)
17012,Jojutla (Morelos)
17015,Miacatlán (Morelos)
17016,Ocuituco (Morelos)
17019,Tepalcingo (Morelos)
17020,Tepoztlán (Morelos)
17032,Zacualpan de Amilpas (Morelos)
